image_id,image_filename,ground_truth_label,ground_truth_subtype,normalized_prediction,predicted_subtype,is_correct,success,processing_time_ms,confidence,reasoning,full_raw_response
0,acne-cystic-118.jpg,acne,cystic_acne,acne,nodular,True,True,6115.16,high,"The image shows numerous inflamed lesions, including large, deep, tender-appearing nodules and plaques on the cheek, along with smaller inflammatory papules and pustules. The depth, size, and density of these lesions are characteristic of nodular acne rather than superficial papular or pustular acne, and there is no pattern suggesting rosacea or dermatitis.","{
  ""classification"": ""Nodular acne"",
  ""confidence"": ""high"",
  ""reasoning"": ""The image shows numerous inflamed lesions, including large, deep, tender-appearing nodules and plaques on the cheek, along with smaller inflammatory papules and pustules. The depth, size, and density of these lesions are characteristic of nodular acne rather than superficial papular or pustular acne, and there is no pattern suggesting rosacea or dermatitis."",
  ""key_features"": [
    ""Multiple large, deep, dome-shaped nodules"",
    ""Coalescing inflamed plaques in some areas"",
    ""Background of smaller red papules and pustules"",
    ""Significant erythema and swelling around lesions"",
    ""Distribution typical of severe inflammatory acne on the cheek""
  ]
}"
1,acne-cystic-96.jpg,acne,cystic_acne,acne,pustular,True,True,5432.25,high,"The back shows numerous inflamed follicular lesions, many of which are pustules with central whitish/yellow tops surrounded by erythema, consistent with pustular acne. There are also scattered papules and post-inflammatory marks, but the dominant active lesions are pustular rather than deep nodules or cysts, arguing against nodular or cystic acne.","{
  ""classification"": ""Pustular acne (pus-filled pimples with white/yellow centers)"",
  ""confidence"": ""high"",
  ""reasoning"": ""The back shows numerous inflamed follicular lesions, many of which are pustules with central whitish/yellow tops surrounded by erythema, consistent with pustular acne. There are also scattered papules and post-inflammatory marks, but the dominant active lesions are pustular rather than deep nodules or cysts, arguing against nodular or cystic acne."",
  ""key_features"": [
    ""Multiple discrete inflamed papules and pustules over the upper and mid back"",
    ""Central white/yellow heads on several lesions indicating pus"",
    ""Follicular distribution typical of acne on the trunk"",
    ""Absence of large deep nodules or interconnected draining sinuses""
  ]
}"
2,acne-cystic-6.jpg,acne,cystic_acne,acne,pustular,True,True,5362.72,high,"The chest shows multiple inflamed papules and pustules, many with central white/yellow pus and surrounding erythema, consistent with inflammatory pustular acne. There are no features suggesting an alternative diagnosis such as a uniform rash pattern, scaling, or vascular changes typical of non-acne dermatoses.","{
  ""classification"": ""Pustular acne (pus-filled pimples with white/yellow centers)"",
  ""confidence"": ""high"",
  ""reasoning"": ""The chest shows multiple inflamed papules and pustules, many with central white/yellow pus and surrounding erythema, consistent with inflammatory pustular acne. There are no features suggesting an alternative diagnosis such as a uniform rash pattern, scaling, or vascular changes typical of non-acne dermatoses."",
  ""key_features"": [
    ""Multiple discrete erythematous papules and pustules on the chest"",
    ""Visible white/yellow centers indicating pus formation"",
    ""Inflammatory lesions with surrounding redness"",
    ""Distribution typical for truncal acne rather than a symmetric eczematous or vascular rash""
  ]
}"
3,acne-cystic-150.jpg,acne,cystic_acne,acne,pustular,True,True,6383.89,high,"The back shows numerous inflamed follicular papules and pustules, many with central whitish/yellowish tops consistent with pustules. The distribution along the upper back and shoulders and the presence of both red papules and pustules are characteristic of inflammatory pustular acne rather than a non-acne rash.","{
    ""classification"": ""Pustular acne (pus-filled pimples with white/yellow centers)"",
    ""confidence"": ""high"",
    ""reasoning"": ""The back shows numerous inflamed follicular papules and pustules, many with central whitish/yellowish tops consistent with pustules. The distribution along the upper back and shoulders and the presence of both red papules and pustules are characteristic of inflammatory pustular acne rather than a non-acne rash."",
    ""key_features"": [
        ""Multiple discrete inflamed red papules"",
        ""Numerous pustules with central white/yellow heads"",
        ""Follicular distribution over upper back and shoulders"",
        ""Evidence of post-inflammatory erythema and early scarring typical of acne""
    ]
}"
4,acne-cystic-119.jpg,acne,cystic_acne,acne,papular,True,True,5924.96,high,"The image shows numerous small, inflamed, red papules scattered over the forehead without prominent white or yellow pus-filled centers. There is clear perifollicular inflammation but no deep nodules or cysts, which is characteristic of papular acne rather than pustular or nodulocystic forms.","{
    ""classification"": ""Papular acne (small red bumps without pus)"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows numerous small, inflamed, red papules scattered over the forehead without prominent white or yellow pus-filled centers. There is clear perifollicular inflammation but no deep nodules or cysts, which is characteristic of papular acne rather than pustular or nodulocystic forms."",
    ""key_features"": [
        ""Multiple small, discrete red bumps (papules)"",
        ""Inflammatory lesions centered around hair follicles"",
        ""Lack of obvious white/yellow pus heads"",
        ""No large deep nodules or cystic swellings"",
        ""Distribution typical for acne on the forehead""
    ]
}"
5,acne-cystic-141.jpg,acne,cystic_acne,acne,papular,True,True,4574.48,high,"The image shows numerous small, inflamed, red papules on the forehead without obvious white or yellow pus-filled centers. There is clear perifollicular inflammation typical of inflammatory papular acne rather than deep nodules, cysts, or a diffuse non-follicular rash seen in dermatitis or other non-acne conditions.","{
    ""classification"": ""Papular acne (small red bumps without pus)"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows numerous small, inflamed, red papules on the forehead without obvious white or yellow pus-filled centers. There is clear perifollicular inflammation typical of inflammatory papular acne rather than deep nodules, cysts, or a diffuse non-follicular rash seen in dermatitis or other non-acne conditions."",
    ""key_features"": [
        ""Multiple small erythematous papules"",
        ""Lesions centered around hair follicles"",
        ""Lack of prominent white/yellow pustule heads"",
        ""No deep nodules or cystic swellings"",
        ""Localized to typical seborrheic area (forehead)""
    ]
}"
6,acne-cystic-4.jpg,acne,cystic_acne,acne,papular,True,True,5299.65,high,"The image shows numerous small, inflamed, red bumps scattered over the skin without obvious white or yellow pus-filled centers. There are some post-inflammatory marks and a few slightly larger lesions, but the predominant morphology is papules rather than pustules or deep nodules/cysts, consistent with papular acne.","{
  ""classification"": ""Papular acne (small red bumps without pus)"",
  ""confidence"": ""high"",
  ""reasoning"": ""The image shows numerous small, inflamed, red bumps scattered over the skin without obvious white or yellow pus-filled centers. There are some post-inflammatory marks and a few slightly larger lesions, but the predominant morphology is papules rather than pustules or deep nodules/cysts, consistent with papular acne."",
  ""key_features"": [
    ""Multiple small erythematous (red) bumps"",
    ""Lack of prominent white/yellow pus heads"",
    ""Superficial lesions confined to upper skin layers"",
    ""Background of mild post-inflammatory hyperpigmentation"",
    ""Distribution typical of acne-prone areas""
  ]
}"
7,acne-cystic-85.jpg,acne,cystic_acne,acne,nodular,True,True,5037.76,high,"The image shows multiple deep, violaceous to red subcutaneous nodules with surrounding inflammation and some post-inflammatory hyperpigmented macules. These lesions are larger and deeper than typical papules or pustules, consistent with nodular acne rather than superficial acne types or non-acne inflammatory dermatoses.","{
  ""classification"": ""Nodular acne (large, painful lumps beneath the skin)"",
  ""confidence"": ""high"",
  ""reasoning"": ""The image shows multiple deep, violaceous to red subcutaneous nodules with surrounding inflammation and some post-inflammatory hyperpigmented macules. These lesions are larger and deeper than typical papules or pustules, consistent with nodular acne rather than superficial acne types or non-acne inflammatory dermatoses."",
  ""key_features"": [
    ""Multiple deep, firm-appearing nodules"",
    ""Violaceous/red coloration suggesting deep inflammation"",
    ""Scattered post-inflammatory hyperpigmented macules and scars"",
    ""Relative absence of prominent surface comedones or superficial pustules""
  ]
}"
8,acne-cystic-92.jpg,acne,cystic_acne,non_acne,other,False,True,5926.05,high,"The image shows numerous tiny, uniform, skin-colored papules without visible central pores, blackheads, whiteheads, or pustules. There is also a faintly erythematous patch, suggesting a follicular or keratotic disorder or mild dermatitis rather than acne, which typically features comedones or inflamed pustules/papules centered on follicles.","{
  ""classification"": ""Not acne"",
  ""confidence"": ""high"",
  ""reasoning"": ""The image shows numerous tiny, uniform, skin-colored papules without visible central pores, blackheads, whiteheads, or pustules. There is also a faintly erythematous patch, suggesting a follicular or keratotic disorder or mild dermatitis rather than acne, which typically features comedones or inflamed pustules/papules centered on follicles."",
  ""key_features"": [
    ""Multiple very small, uniform, skin-colored papules"",
    ""Absence of comedones (no blackheads or whiteheads)"",
    ""No pustules or obvious inflammatory papules centered on follicles"",
    ""Patch of mild, diffuse erythema rather than discrete acne lesions""
  ]
}"
9,acne-cystic-151.jpg,acne,cystic_acne,acne,pustular,True,True,5168.26,high,"The chest shows numerous inflamed follicular papules and pustules, many with yellowish crusts consistent with ruptured pustules, on a background of erythema. The distribution and morphology are typical of inflammatory/pustular acne on the trunk rather than a non-acne dermatosis.","{
  ""classification"": ""Pustular acne (pus-filled pimples with white/yellow centers)"",
  ""confidence"": ""high"",
  ""reasoning"": ""The chest shows numerous inflamed follicular papules and pustules, many with yellowish crusts consistent with ruptured pustules, on a background of erythema. The distribution and morphology are typical of inflammatory/pustular acne on the trunk rather than a non-acne dermatosis."",
  ""key_features"": [
    ""Multiple discrete red inflammatory papules and pustules"",
    ""Yellowish crusts indicating ruptured pustules"",
    ""Follicular, truncal distribution on the chest"",
    ""Absence of diffuse scaling or eczematous plaques"",
    ""No clear signs of deep nodules or cysts dominating the picture""
  ]
}"
