Metric,Value
Total Images,300.0
Successful Classifications,300.0
Failed Classifications,0.0
Success Rate (%),100.0
Overall Accuracy (%),79.0
Macro Precision,0.816
Macro Recall,0.79
Macro F1-Score,0.786
Micro Precision,0.79
Micro Recall,0.79
Micro F1-Score,0.79
Sensitivity (Acne Recall) (%),64.7
Specificity (Non-Acne Recall) (%),93.3
Acne Precision (%),90.7
Non-Acne Precision (%),72.5
Acne F1-Score,0.755
Non-Acne F1-Score,0.816
True Positives,97.0
False Positives,10.0
True Negatives,140.0
False Negatives,53.0
