image_id,image_filename,ground_truth_label,ground_truth_subtype,normalized_prediction,predicted_subtype,is_correct,success,processing_time_ms,confidence,reasoning,full_raw_response
0,acne-cystic-118.jpg,acne,cystic_acne,acne,pustular,True,True,11201.51,high,"The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types.","```json
{
    ""classification"": ""Pustular acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types."",
    ""key_features"": [""Pus-filled pimples"", ""White/yellow centers"", ""Inflammation""]
}
```"
1,acne-cystic-96.jpg,acne,cystic_acne,non_acne,other,False,True,10736.93,high,"The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis or rosacea. There are no comedones, pustules, nodules, or cysts present, which are characteristic of acne.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis or rosacea. There are no comedones, pustules, nodules, or cysts present, which are characteristic of acne."",
    ""key_features"": [""symmetrical"", ""rash"", ""pattern""]
}
```"
2,acne-cystic-6.jpg,acne,cystic_acne,non_acne,other,False,True,10514.69,high,"The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis or rosacea. There are no comedones, pustules, or nodules present, which are characteristic of acne.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis or rosacea. There are no comedones, pustules, or nodules present, which are characteristic of acne."",
    ""key_features"": [""symmetrical"", ""rash"", ""pattern""]
}
```"
3,acne-cystic-150.jpg,acne,cystic_acne,non_acne,other,False,True,10533.65,high,"The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis or rosacea. There are no comedones, pustules, or nodules present, which are characteristic of acne.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis or rosacea. There are no comedones, pustules, or nodules present, which are characteristic of acne."",
    ""key_features"": [""Symmetrical rash pattern"", ""No comedones"", ""No pustules"", ""No nodules""]
}
```"
4,acne-cystic-119.jpg,acne,cystic_acne,non_acne,other,False,True,10583.67,high,"The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis or rosacea. There are no comedones, pustules, nodules, or cysts present, which are characteristic of acne.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis or rosacea. There are no comedones, pustules, nodules, or cysts present, which are characteristic of acne."",
    ""key_features"": [""symmetrical"", ""rash"", ""pattern""]
}
```"
5,acne-cystic-141.jpg,acne,cystic_acne,acne,pustular,True,True,11006.67,high,"The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present.","```json
{
    ""classification"": ""Pustular acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present."",
    ""key_features"": [""Pus-filled pimples"", ""White/yellow centers"", ""Inflammation""]
}
```"
6,acne-cystic-4.jpg,acne,cystic_acne,acne,pustular,True,True,10148.63,high,"The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present.","```json
{
    ""classification"": ""Pustular acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present."",
    ""key_features"": [""Pus-filled pimples"", ""White/yellow centers"", ""Inflammation""]
}
```"
7,acne-cystic-85.jpg,acne,cystic_acne,acne,pustular,True,True,10802.44,high,"The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types.","```json
{
    ""classification"": ""Pustular acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types."",
    ""key_features"": [""Pus-filled pimples"", ""White/yellow centers"", ""Inflammation""]
}
```"
8,acne-cystic-92.jpg,acne,cystic_acne,acne,pustular,True,True,11557.68,high,"The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present.","```json
{
    ""classification"": ""Pustular acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present."",
    ""key_features"": [""Pus-filled pimples"", ""White/yellow centers"", ""Inflammation""]
}
```"
9,acne-cystic-151.jpg,acne,cystic_acne,non_acne,other,False,True,10621.72,high,"The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis or rosacea. There are no comedones, pustules, or nodules present, which are characteristic of acne.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis or rosacea. There are no comedones, pustules, or nodules present, which are characteristic of acne."",
    ""key_features"": [""symmetrical"", ""rash"", ""pattern""]
}
```"
10,acne-cystic-146.jpg,acne,cystic_acne,acne,pustular,True,True,10920.32,high,"The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types.","```json
{
    ""classification"": ""Pustular acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types."",
    ""key_features"": [""Pus-filled pimples"", ""White/yellow centers"", ""Inflammation""]
}
```"
11,acne-cystic-21.jpg,acne,cystic_acne,non_acne,other,False,True,10512.75,high,"The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis. There are no comedones, pustules, or nodules present, which are characteristic of acne.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis. There are no comedones, pustules, or nodules present, which are characteristic of acne."",
    ""key_features"": [""symmetrical"", ""rash"", ""pattern""]
}
```"
12,acne-cystic-33.jpg,acne,cystic_acne,acne,pustular,True,True,10592.91,high,"The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types.","```json
{
    ""classification"": ""Pustular acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types."",
    ""key_features"": [""Pus-filled pimples"", ""White/yellow centers"", ""Inflammation""]
}
```"
13,acne-cystic-100.jpg,acne,cystic_acne,acne,pustular,True,True,10448.52,high,"The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types.","```json
{
    ""classification"": ""Pustular acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types."",
    ""key_features"": [""Pus-filled pimples"", ""White/yellow centers"", ""Inflammation""]
}
```"
14,acne-cystic-128.jpg,acne,cystic_acne,acne,pustular,True,True,10492.53,high,"The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types.","```json
{
    ""classification"": ""Pustular acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types."",
    ""key_features"": [""Pus-filled pimples"", ""White/yellow centers"", ""Inflammation""]
}
```"
15,acne-cystic-109.jpg,acne,cystic_acne,non_acne,other,False,True,10691.51,high,"The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis or rosacea. There are no comedones, pustules, nodules, or cysts present, which are characteristic of acne.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis or rosacea. There are no comedones, pustules, nodules, or cysts present, which are characteristic of acne."",
    ""key_features"": [""symmetrical"", ""rash"", ""pattern""]
}
```"
16,acne-cystic-102.jpg,acne,cystic_acne,non_acne,other,False,True,10995.07,high,"The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis or eczema. There are no comedones, pustules, nodules, or cysts present, which are characteristic of acne.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis or eczema. There are no comedones, pustules, nodules, or cysts present, which are characteristic of acne."",
    ""key_features"": [""Symmetrical rash pattern"", ""No comedones"", ""No pustules"", ""No nodules"", ""No cysts""]
}
```"
17,acne-cystic-55.jpg,acne,cystic_acne,non_acne,other,False,True,10467.83,high,"The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis or rosacea. There are no comedones, pustules, nodules, or cysts present, which are characteristic of acne.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis or rosacea. There are no comedones, pustules, nodules, or cysts present, which are characteristic of acne."",
    ""key_features"": [""symmetrical"", ""rash"", ""pattern""]
}
```"
18,acne-cystic-99.jpg,acne,cystic_acne,acne,pustular,True,True,10193.75,high,"The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present.","```json
{
    ""classification"": ""Pustular acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present."",
    ""key_features"": [""Pus-filled pimples"", ""White/yellow centers""]
}
```"
19,acne-cystic-49.jpg,acne,cystic_acne,acne,pustular,True,True,10731.69,high,"The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types.","```json
{
    ""classification"": ""Pustular acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types."",
    ""key_features"": [""pus-filled"", ""pimples"", ""white/yellow"", ""centers""]
}
```"
20,acne-cystic-107.jpg,acne,cystic_acne,acne,pustular,True,True,10762.67,high,"The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types.","```json
{
    ""classification"": ""Pustular acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types."",
    ""key_features"": [""Pus-filled pimples"", ""White/yellow centers"", ""Inflammation""]
}
```"
21,acne-cystic-122.jpg,acne,cystic_acne,acne,pustular,True,True,10283.65,high,"The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present.","```json
{
    ""classification"": ""Pustular acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present."",
    ""key_features"": [""Pus-filled pimples"", ""White/yellow centers"", ""Inflammation""]
}
```"
22,acne-cystic-28.jpg,acne,cystic_acne,acne,pustular,True,True,10452.16,high,"The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types.","```json
{
    ""classification"": ""Pustular acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types."",
    ""key_features"": [""Pus-filled pimples"", ""White/yellow centers"", ""Inflammation""]
}
```"
23,acne-cystic-103.jpg,acne,cystic_acne,acne,pustular,True,True,10403.7,high,"The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types.","```json
{
    ""classification"": ""Pustular acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types."",
    ""key_features"": [""Pus-filled pimples"", ""White/yellow centers"", ""Inflammation""]
}
```"
24,acne-cystic-108.jpg,acne,cystic_acne,non_acne,other,False,True,10148.69,high,"The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis. There are no comedones, pustules, or nodules present, which are characteristic of acne.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows a symmetrical rash pattern, which is more indicative of a non-acne condition like dermatitis. There are no comedones, pustules, or nodules present, which are characteristic of acne."",
    ""key_features"": [""symmetrical"", ""rash"", ""pattern""]
}
```"
25,acne-cystic-9.jpg,acne,cystic_acne,acne,pustular,True,True,10292.83,high,"The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types.","```json
{
    ""classification"": ""Pustular acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present, ruling out other acne types."",
    ""key_features"": [""Pus-filled pimples"", ""White/yellow centers"", ""Inflammation""]
}
```"
26,acne-cystic-117.jpg,acne,cystic_acne,acne,pustular,True,True,10359.95,high,"The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present.","```json
{
    ""classification"": ""Pustular acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows multiple pus-filled pimples with white/yellow centers, which are characteristic of pustular acne. There are no comedones or nodules present."",
    ""key_features"": [""Pus-filled pimples"", ""White/yellow centers"", ""Inflammation""]
}
```"
