image_id,image_filename,ground_truth_label,ground_truth_subtype,normalized_prediction,predicted_subtype,is_correct,success,processing_time_ms,confidence,reasoning,full_raw_response
0,acne-cystic-118.jpg,acne,cystic_acne,acne,cystic,True,True,6991.77,high,"The image shows severe inflammatory acne with multiple deep, painful-appearing nodules and cysts distributed across the cheek and periorbital area. The presence of large, inflamed lesions with significant depth, active pustulation, and evidence of scarring is characteristic of cystic acne. The lesions appear to be deeply embedded in the dermis with significant inflammation and some purulent content.","```json
{
    ""classification"": ""Cystic acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows severe inflammatory acne with multiple deep, painful-appearing nodules and cysts distributed across the cheek and periorbital area. The presence of large, inflamed lesions with significant depth, active pustulation, and evidence of scarring is characteristic of cystic acne. The lesions appear to be deeply embedded in the dermis with significant inflammation and some purulent content."",
    ""key_features"": [
        ""Multiple large deep nodules and cysts"",
        ""Significant inflammatory response with erythema"",
        ""Pustular components with purulent centers"",
        ""Evidence of post-inflammatory changes and scarring"",
        ""Lesions of varying stages (active inflammation and healing)"",
        ""Deep dermal involvement"",
        ""Distribution pattern consistent with severe acne""
    ]
}
```"
1,acne-cystic-96.jpg,acne,cystic_acne,non_acne,other,False,True,6308.04,high,"This presentation shows widespread follicular papules and pustules distributed across the back in a pattern consistent with folliculitis rather than acne vulgaris. The uniform distribution, lack of comedones, and the characteristic appearance of inflamed hair follicles suggest a follicular infection or inflammatory condition. The extensive involvement and monomorphic nature of the lesions are more typical of bacterial or fungal folliculitis than typical acne.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""This presentation shows widespread follicular papules and pustules distributed across the back in a pattern consistent with folliculitis rather than acne vulgaris. The uniform distribution, lack of comedones, and the characteristic appearance of inflamed hair follicles suggest a follicular infection or inflammatory condition. The extensive involvement and monomorphic nature of the lesions are more typical of bacterial or fungal folliculitis than typical acne."",
    ""key_features"": [
        ""Widespread distribution of uniform follicular papules and pustules"",
        ""Absence of comedones (blackheads/whiteheads)"",
        ""Monomorphic lesion appearance"",
        ""Involvement primarily on the back (truncal distribution)"",
        ""Erythematous base around follicular lesions"",
        ""Pattern consistent with folliculitis rather than acne vulgaris""
    ]
}
```"
2,acne-cystic-6.jpg,acne,cystic_acne,non_acne,other,False,True,6476.19,high,"This presentation shows multiple follicular-based papules and pustules distributed across the chest in a characteristic pattern consistent with folliculitis rather than acne vulgaris. The lesions appear to be centered around hair follicles with surrounding erythema and some crusting, which is more typical of bacterial or fungal folliculitis. The distribution pattern and morphology are not consistent with typical truncal acne.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""This presentation shows multiple follicular-based papules and pustules distributed across the chest in a characteristic pattern consistent with folliculitis rather than acne vulgaris. The lesions appear to be centered around hair follicles with surrounding erythema and some crusting, which is more typical of bacterial or fungal folliculitis. The distribution pattern and morphology are not consistent with typical truncal acne."",
    ""key_features"": [
        ""Multiple discrete follicular papules and pustules"",
        ""Distribution across chest following hair follicle pattern"",
        ""Surrounding erythema around individual lesions"",
        ""Some lesions with crusting and healing stages"",
        ""Absence of comedones (blackheads/whiteheads)"",
        ""Uniform size and appearance of lesions"",
        ""Pattern more consistent with infectious folliculitis""
    ]
}
```"
3,acne-cystic-150.jpg,acne,cystic_acne,non_acne,other,False,True,7953.5,high,"This presentation shows widespread follicular papules and pustules distributed across the back in a pattern consistent with folliculitis or a viral exanthem rather than acne vulgaris. The lesions are uniformly small, numerous, and lack the characteristic comedones, deeper nodules, or cystic components typical of acne. The distribution and morphology suggest an infectious or inflammatory follicular process rather than acne.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""This presentation shows widespread follicular papules and pustules distributed across the back in a pattern consistent with folliculitis or a viral exanthem rather than acne vulgaris. The lesions are uniformly small, numerous, and lack the characteristic comedones, deeper nodules, or cystic components typical of acne. The distribution and morphology suggest an infectious or inflammatory follicular process rather than acne."",
    ""key_features"": [
        ""Widespread distribution of uniform small papules and pustules"",
        ""Follicular-centered lesions across the entire back"",
        ""Absence of comedones (blackheads/whiteheads)"",
        ""Monomorphic appearance of lesions"",
        ""No evidence of nodules or cysts"",
        ""Pattern more consistent with folliculitis or viral exanthem""
    ]
}
```"
4,acne-cystic-119.jpg,acne,cystic_acne,non_acne,other,False,True,6860.19,high,"This image shows characteristics consistent with rosacea rather than acne. The presentation includes diffuse erythema (redness) with multiple small papules and pustules distributed across the forehead in a symmetrical pattern, without the presence of comedones (blackheads or whiteheads). The background erythema and the pattern of inflammatory papules are typical of papulopustular rosacea rather than acne vulgaris.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""This image shows characteristics consistent with rosacea rather than acne. The presentation includes diffuse erythema (redness) with multiple small papules and pustules distributed across the forehead in a symmetrical pattern, without the presence of comedones (blackheads or whiteheads). The background erythema and the pattern of inflammatory papules are typical of papulopustular rosacea rather than acne vulgaris."",
    ""key_features"": [
        ""Diffuse background erythema across the forehead"",
        ""Multiple small inflammatory papules and pustules"",
        ""Absence of comedones (no blackheads or whiteheads visible)"",
        ""Symmetrical distribution pattern"",
        ""Appears to affect mature skin based on visible texture"",
        ""Uniform pink-red coloration of affected area""
    ]
}
```"
5,acne-cystic-141.jpg,acne,cystic_acne,non_acne,other,False,True,7065.3,high,"This image shows characteristics consistent with herpes zoster (shingles) rather than acne. The lesions appear as grouped vesicles and crusted papules following a dermatomal distribution pattern along what appears to be the facial/temporal region. The clustering pattern, presence of vesicles at different stages of healing, and unilateral distribution are pathognomonic for herpes zoster, not acne vulgaris.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""This image shows characteristics consistent with herpes zoster (shingles) rather than acne. The lesions appear as grouped vesicles and crusted papules following a dermatomal distribution pattern along what appears to be the facial/temporal region. The clustering pattern, presence of vesicles at different stages of healing, and unilateral distribution are pathognomonic for herpes zoster, not acne vulgaris."",
    ""key_features"": [""grouped vesicular lesions"", ""crusted papules"", ""unilateral dermatomal distribution"", ""lesions at various stages of healing"", ""erythematous base"", ""location following nerve pathway pattern"", ""absence of comedones""]
}
```"
6,acne-cystic-4.jpg,acne,cystic_acne,non_acne,other,False,True,6347.48,high,"This image shows characteristics consistent with herpes zoster (shingles) rather than acne. The lesions appear as grouped vesicles and crusted papules following a dermatomal distribution pattern along what appears to be the upper back/shoulder region. The clustering pattern, presence of vesicles at different stages of healing, and the unilateral dermatomal distribution are pathognomonic for herpes zoster, not acne vulgaris.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""This image shows characteristics consistent with herpes zoster (shingles) rather than acne. The lesions appear as grouped vesicles and crusted papules following a dermatomal distribution pattern along what appears to be the upper back/shoulder region. The clustering pattern, presence of vesicles at different stages of healing, and the unilateral dermatomal distribution are pathognomonic for herpes zoster, not acne vulgaris."",
    ""key_features"": [""grouped vesicular lesions"", ""crusted papules"", ""dermatomal distribution pattern"", ""unilateral presentation"", ""lesions at various stages of healing"", ""erythematous base"", ""absence of comedones""]
}
```"
7,acne-cystic-85.jpg,acne,cystic_acne,non_acne,other,False,True,5221.27,high,"This image shows characteristics consistent with rosacea rather than acne. The presentation includes diffuse erythema (redness), visible telangiectasias (dilated blood vessels), and what appears to be inflammatory papules without comedones. The distribution pattern and vascular changes are typical of rosacea, not acne vulgaris.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""This image shows characteristics consistent with rosacea rather than acne. The presentation includes diffuse erythema (redness), visible telangiectasias (dilated blood vessels), and what appears to be inflammatory papules without comedones. The distribution pattern and vascular changes are typical of rosacea, not acne vulgaris."",
    ""key_features"": [
        ""Diffuse facial erythema and flushing"",
        ""Visible telangiectasias (spider veins)"",
        ""Absence of comedones (blackheads/whiteheads)"",
        ""Inflammatory papules on erythematous background"",
        ""Background skin shows vascular changes"",
        ""Pattern consistent with rosacea rather than acne""
    ]
}
```"
8,acne-cystic-92.jpg,acne,cystic_acne,non_acne,other,False,True,5699.38,high,"The image shows a patch of skin with fine scaling, dryness, and a slightly erythematous (reddish) appearance consistent with a dermatitis or eczematous condition. There are no visible comedones, pustules, papules, nodules, or cysts characteristic of acne. The texture and pattern suggest an inflammatory or dry skin condition rather than follicular-based acne lesions.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""The image shows a patch of skin with fine scaling, dryness, and a slightly erythematous (reddish) appearance consistent with a dermatitis or eczematous condition. There are no visible comedones, pustules, papules, nodules, or cysts characteristic of acne. The texture and pattern suggest an inflammatory or dry skin condition rather than follicular-based acne lesions."",
    ""key_features"": [
        ""Fine scaling and dry texture across the affected area"",
        ""Diffuse erythema (redness) without discrete lesions"",
        ""Absence of comedones (blackheads/whiteheads)"",
        ""Absence of pustules or papules"",
        ""Patch-like distribution rather than follicular pattern"",
        ""Surface texture consistent with dermatitis or eczema""
    ]
}
```"
9,acne-cystic-151.jpg,acne,cystic_acne,non_acne,other,False,True,6498.72,high,"This presentation shows numerous discrete, crusted papules and plaques distributed across the chest in a characteristic pattern consistent with a papulosquamous dermatosis, most likely pityriasis rosea or a viral exanthem. The lesions lack the comedones, pustules, or inflammatory papules typical of acne vulgaris. The morphology, distribution pattern, and appearance of the individual lesions are not consistent with any form of acne.","```json
{
    ""classification"": ""Not acne"",
    ""confidence"": ""high"",
    ""reasoning"": ""This presentation shows numerous discrete, crusted papules and plaques distributed across the chest in a characteristic pattern consistent with a papulosquamous dermatosis, most likely pityriasis rosea or a viral exanthem. The lesions lack the comedones, pustules, or inflammatory papules typical of acne vulgaris. The morphology, distribution pattern, and appearance of the individual lesions are not consistent with any form of acne."",
    ""key_features"": [""multiple discrete erythematous papules with scaling"", ""crusted and scaly surface texture"", ""distribution across chest/trunk"", ""absence of comedones (blackheads/whiteheads)"", ""absence of pustules"", ""lesions appear more papulosquamous than follicular""]
}
```"
