image_id,image_filename,ground_truth_label,ground_truth_subtype,normalized_prediction,predicted_subtype,is_correct,success,processing_time_ms,confidence,reasoning
0,acne-cystic-118.jpg,acne,cystic_acne,acne,cystic,True,True,5395.41,high,"The image shows multiple deep, inflamed lesions with significant surrounding erythema and what appears to be pustular components. The lesions are large, painful-looking nodules and cysts characteristic of severe cystic acne, with evidence of active inflammation and possible secondary infection or excoriation."
1,acne-cystic-96.jpg,acne,cystic_acne,acne,papular,True,True,4183.89,high,"The image shows numerous small, red, inflamed papules distributed across the back without visible pustules or comedones. The lesions are characteristic of papular acne, which presents as small inflammatory bumps without pus-filled centers."
2,acne-cystic-6.jpg,acne,cystic_acne,non_acne,other,False,True,5427.12,high,"This appears to be folliculitis or another inflammatory follicular condition rather than acne. The lesions are distributed across the chest in a pattern consistent with hair follicle inflammation, with multiple small red papules and pustules that lack the typical comedonal component of acne."
3,acne-cystic-150.jpg,acne,cystic_acne,non_acne,other,False,True,5616.1,high,"This appears to be a viral exanthem, most likely chickenpox (varicella) or another viral rash. The lesions are distributed across the back in a generalized pattern typical of systemic viral infections, not the sebaceous gland distribution characteristic of acne. The morphology shows vesicular and papular lesions at various stages of healing, which is pathognomonic for viral exanthems."
4,acne-cystic-119.jpg,acne,cystic_acne,non_acne,other,False,True,4929.98,high,"This image shows characteristics consistent with rosacea rather than acne. The persistent erythema (redness) across the forehead area, absence of comedones (blackheads/whiteheads), and the pattern of inflammatory papules without pustules are typical of papulopustular rosacea."
5,acne-cystic-141.jpg,acne,cystic_acne,non_acne,other,False,True,4298.24,high,"This appears to be a vesicular eruption, most likely herpes zoster (shingles) or another viral exanthem. The lesions show characteristic fluid-filled vesicles and pustules in a clustered pattern, which is not consistent with acne morphology. The absence of comedones and the presence of vesicular lesions strongly suggests a viral etiology rather than acne."
6,acne-cystic-4.jpg,acne,cystic_acne,acne,papular,True,True,4701.7,high,"The image shows multiple small, red, inflamed papules distributed across the forehead area without visible pustules or comedones. These lesions are characteristic of papular acne, presenting as inflammatory bumps without pus-filled centers."
7,acne-cystic-85.jpg,acne,cystic_acne,non_acne,other,False,True,5127.69,high,"This image shows characteristics consistent with rosacea rather than acne. The persistent erythema (redness), visible telangiectasias (dilated blood vessels), and absence of comedones are typical features of rosacea. The distribution and appearance lack the inflammatory papules, pustules, or comedones that would be expected in acne."
8,acne-cystic-92.jpg,acne,cystic_acne,non_acne,other,False,True,4115.02,high,"The image shows normal healthy skin with no visible acne lesions, comedones, pustules, or inflammatory changes. The skin appears to have normal texture and coloration without any pathological findings consistent with acne or other dermatological conditions."
9,acne-cystic-151.jpg,acne,cystic_acne,non_acne,other,False,True,4778.58,high,"This appears to be a vesicular rash consistent with herpes zoster (shingles) or another viral exanthem. The lesions show characteristic fluid-filled vesicles and pustules in a dermatomal distribution pattern across the chest, which is not typical of acne. The morphology and distribution are inconsistent with any form of acne."
10,acne-cystic-146.jpg,acne,cystic_acne,non_acne,other,False,True,4823.6,high,This image shows a widespread eruption on the back with numerous small papules and pustules in a generalized distribution pattern that is not consistent with typical acne vulgaris. The morphology and distribution suggest a folliculitis or other inflammatory skin condition rather than acne.
11,acne-cystic-21.jpg,acne,cystic_acne,acne,papular,True,True,4287.33,high,"The image shows multiple small, red, inflamed papules distributed across the cheek area without visible pustules or comedones. These lesions are characteristic of papular acne, presenting as inflammatory bumps without purulent centers."
12,acne-cystic-33.jpg,acne,cystic_acne,acne,comedonal,True,True,3683.31,high,"The image shows multiple small, dark-colored lesions consistent with open comedones (blackheads) distributed across the forehead area. These are characteristic of comedonal acne, which occurs when hair follicles become clogged with oil and dead skin cells."
13,acne-cystic-100.jpg,acne,cystic_acne,non_acne,other,False,True,4567.24,high,"This appears to be folliculitis or a follicular eruption rather than acne. The lesions are uniformly distributed small red papules without comedones, pustules, or the typical acne morphology. The pattern and appearance are more consistent with an inflammatory follicular condition or possibly a drug eruption."
14,acne-cystic-128.jpg,acne,cystic_acne,non_acne,other,False,True,5055.3,high,"This image shows characteristics consistent with seborrheic dermatitis rather than acne. The presence of scaling, flaking skin with redness in a typical distribution pattern (appears to be near facial hair/beard area) without comedones, pustules, or papules is more indicative of a dermatitic condition than acne."
15,acne-cystic-109.jpg,acne,cystic_acne,acne,papular,True,True,4119.94,high,"The image shows numerous small, red, inflamed papules distributed across the back without visible pustules or comedones. The lesions are characteristic of papular acne, which presents as small inflammatory bumps without pus-filled centers."
16,acne-cystic-102.jpg,acne,cystic_acne,non_acne,other,False,True,4263.34,high,"This appears to be folliculitis or a follicular eruption rather than acne. The lesions are uniformly distributed small papules without the characteristic comedones, pustules, or cysts typical of acne. The pattern and morphology are more consistent with inflammation of hair follicles."
17,acne-cystic-55.jpg,acne,cystic_acne,non_acne,other,False,True,4907.77,high,"This image shows characteristics consistent with rosacea rather than acne. The widespread erythema (redness) across the forehead with papules and pustules in a symmetrical distribution, absence of comedones, and the overall inflammatory pattern are typical of papulopustular rosacea."
18,acne-cystic-99.jpg,acne,cystic_acne,non_acne,other,False,True,4417.2,high,"This image shows multiple ulcerative lesions with necrotic centers and surrounding erythema, which is characteristic of a severe infectious or inflammatory condition rather than acne. The lesions appear to be deep ulcers with tissue necrosis, not the comedones, papules, pustules, or cysts typical of acne vulgaris."
19,acne-cystic-49.jpg,acne,cystic_acne,non_acne,other,False,True,4621.29,high,"This image shows multiple ulcerative lesions with necrotic tissue and eschar formation, which is characteristic of a severe skin condition such as pyoderma gangrenosum, necrotizing fasciitis, or severe ulcerative dermatosis. The presence of deep tissue necrosis, irregular wound margins, and the overall appearance are inconsistent with any form of acne."
20,acne-cystic-107.jpg,acne,cystic_acne,non_acne,other,False,True,4615.82,high,"This appears to be a pigmentary disorder, most likely post-inflammatory hyperpigmentation or melasma, rather than active acne. The lesions are flat, brown/dark spots without the characteristic raised inflammatory papules, pustules, or comedones typical of acne."
21,acne-cystic-122.jpg,acne,cystic_acne,non_acne,other,False,True,4499.9,high,"The image shows multiple purpuric lesions (red-purple spots) of varying sizes that appear to be petechiae and ecchymoses rather than acne lesions. These lesions lack the characteristic features of acne such as comedones, pustules, or inflammatory papules, and instead suggest a vascular or bleeding disorder."
22,acne-cystic-28.jpg,acne,cystic_acne,non_acne,other,False,True,4610.81,high,"This appears to be a seborrheic dermatitis or eczematous condition rather than acne. The lesion shows characteristic scaling, crusting, and inflammatory changes without the presence of comedones, pustules, or other typical acne lesions. The appearance and distribution pattern are more consistent with a dermatitic process."
23,acne-cystic-103.jpg,acne,cystic_acne,non_acne,other,False,True,5016.94,high,"This appears to be a severe inflammatory skin condition with widespread ulcerative lesions, crusting, and necrotic tissue that is inconsistent with any form of acne. The pattern, severity, and morphology of the lesions suggest a serious dermatological condition such as severe bacterial infection, autoimmune blistering disease, or other inflammatory dermatosis requiring immediate medical attention."
