image_id,image_filename,ground_truth_label,ground_truth_subtype,normalized_prediction,predicted_subtype,is_correct,success,processing_time_ms,confidence,reasoning
0,acne-cystic-118.jpg,acne,cystic_acne,acne,nodular,True,True,6115.16,high,"The image shows numerous inflamed lesions, including large, deep, tender-appearing nodules and plaques on the cheek, along with smaller inflammatory papules and pustules. The depth, size, and density of these lesions are characteristic of nodular acne rather than superficial papular or pustular acne, and there is no pattern suggesting rosacea or dermatitis."
1,acne-cystic-96.jpg,acne,cystic_acne,acne,pustular,True,True,5432.25,high,"The back shows numerous inflamed follicular lesions, many of which are pustules with central whitish/yellow tops surrounded by erythema, consistent with pustular acne. There are also scattered papules and post-inflammatory marks, but the dominant active lesions are pustular rather than deep nodules or cysts, arguing against nodular or cystic acne."
2,acne-cystic-6.jpg,acne,cystic_acne,acne,pustular,True,True,5362.72,high,"The chest shows multiple inflamed papules and pustules, many with central white/yellow pus and surrounding erythema, consistent with inflammatory pustular acne. There are no features suggesting an alternative diagnosis such as a uniform rash pattern, scaling, or vascular changes typical of non-acne dermatoses."
3,acne-cystic-150.jpg,acne,cystic_acne,acne,pustular,True,True,6383.89,high,"The back shows numerous inflamed follicular papules and pustules, many with central whitish/yellowish tops consistent with pustules. The distribution along the upper back and shoulders and the presence of both red papules and pustules are characteristic of inflammatory pustular acne rather than a non-acne rash."
4,acne-cystic-119.jpg,acne,cystic_acne,acne,papular,True,True,5924.96,high,"The image shows numerous small, inflamed, red papules scattered over the forehead without prominent white or yellow pus-filled centers. There is clear perifollicular inflammation but no deep nodules or cysts, which is characteristic of papular acne rather than pustular or nodulocystic forms."
5,acne-cystic-141.jpg,acne,cystic_acne,acne,papular,True,True,4574.48,high,"The image shows numerous small, inflamed, red papules on the forehead without obvious white or yellow pus-filled centers. There is clear perifollicular inflammation typical of inflammatory papular acne rather than deep nodules, cysts, or a diffuse non-follicular rash seen in dermatitis or other non-acne conditions."
6,acne-cystic-4.jpg,acne,cystic_acne,acne,papular,True,True,5299.65,high,"The image shows numerous small, inflamed, red bumps scattered over the skin without obvious white or yellow pus-filled centers. There are some post-inflammatory marks and a few slightly larger lesions, but the predominant morphology is papules rather than pustules or deep nodules/cysts, consistent with papular acne."
7,acne-cystic-85.jpg,acne,cystic_acne,acne,nodular,True,True,5037.76,high,"The image shows multiple deep, violaceous to red subcutaneous nodules with surrounding inflammation and some post-inflammatory hyperpigmented macules. These lesions are larger and deeper than typical papules or pustules, consistent with nodular acne rather than superficial acne types or non-acne inflammatory dermatoses."
8,acne-cystic-92.jpg,acne,cystic_acne,non_acne,other,False,True,5926.05,high,"The image shows numerous tiny, uniform, skin-colored papules without visible central pores, blackheads, whiteheads, or pustules. There is also a faintly erythematous patch, suggesting a follicular or keratotic disorder or mild dermatitis rather than acne, which typically features comedones or inflamed pustules/papules centered on follicles."
9,acne-cystic-151.jpg,acne,cystic_acne,acne,pustular,True,True,5168.26,high,"The chest shows numerous inflamed follicular papules and pustules, many with yellowish crusts consistent with ruptured pustules, on a background of erythema. The distribution and morphology are typical of inflammatory/pustular acne on the trunk rather than a non-acne dermatosis."
10,acne-cystic-146.jpg,acne,cystic_acne,acne,comedonal,True,True,5839.29,high,"The back shows numerous open comedones (blackheads) and some closed comedones with scattered mild inflammatory papules. There are no large, deep nodules or cysts, and pustules are not the dominant feature, so this is best classified as predominantly comedonal acne with mild inflammatory change."
